param_kernel,param_C,param_degree,param_gamma,mean_test_score,std_test_score
linear,0.1,,,0.9062000081231879,0.002572862706697323
linear,1.0,,,0.9062000081231879,0.002572862706697323
linear,10.0,,,0.9062000081231879,0.002572862706697323
poly,0.1,2.0,,0.9118002982061854,0.00243857468491833
poly,0.1,3.0,,0.8867000977242295,0.001008766210813314
poly,0.1,4.0,,0.8278999765603435,0.0017228055499855384
poly,1.0,2.0,,0.9511002989921068,0.0021283387881898485
poly,1.0,3.0,,0.9460000889111108,0.0007282075830791273
poly,1.0,4.0,,0.9209003083871675,0.002211370447589701
poly,10.0,2.0,,0.9559005390641043,0.004179724096070116
poly,10.0,3.0,,0.9489002589521099,0.001895483518801003
poly,10.0,4.0,,0.9355000587041308,0.0022434974691850785
rbf,0.1,,scale,0.9184002383441703,0.002775134108976969
rbf,0.1,,0.01,0.11250000224977508,1.5908312063654927e-05
rbf,0.1,,0.001,0.11250000224977508,1.5908312063654927e-05
rbf,1.0,,scale,0.9563002491010949,0.0017993317585663052
rbf,1.0,,0.01,0.11250000224977508,1.5908312063654927e-05
rbf,1.0,,0.001,0.11250000224977508,1.5908312063654927e-05
rbf,10.0,,scale,0.9626003392180849,0.002591068792513712
rbf,10.0,,0.01,0.11250000224977508,1.5908312063654927e-05
rbf,10.0,,0.001,0.11250000224977508,1.5908312063654927e-05
